제목,레벨,정답률,완료한 사람,링크
어린 동물 찾기,1,92.0,81946,https://school.programmers.co.kr/learn/courses/30/lessons/59037
몫 구하기,0,92.0,86084,https://school.programmers.co.kr/learn/courses/30/lessons/120805
역순 정렬하기,1,91.0,85385,https://school.programmers.co.kr/learn/courses/30/lessons/59035
아픈 동물 찾기,1,91.0,85838,https://school.programmers.co.kr/learn/courses/30/lessons/59036
최솟값 구하기,2,91.0,76217,https://school.programmers.co.kr/learn/courses/30/lessons/59038
이름이 없는 동물의 아이디,1,91.0,59578,https://school.programmers.co.kr/learn/courses/30/lessons/59039
동명 동물 수 찾기,2,91.0,66481,https://school.programmers.co.kr/learn/courses/30/lessons/59041
이름에 el이 들어가는 동물 찾기,2,91.0,48559,https://school.programmers.co.kr/learn/courses/30/lessons/59047
여러 기준으로 정렬하기,1,91.0,76069,https://school.programmers.co.kr/learn/courses/30/lessons/59404
NULL 처리하기,2,91.0,55751,https://school.programmers.co.kr/learn/courses/30/lessons/59410
DATETIME에서 DATE로 형 변환,2,91.0,40314,https://school.programmers.co.kr/learn/courses/30/lessons/59414
두 수의 차 구하기,0,91.0,89532,https://school.programmers.co.kr/learn/courses/30/lessons/120803
나이 출력,0,91.0,73490,https://school.programmers.co.kr/learn/courses/30/lessons/120820
경기도에 위치한 식품창고 목록 출력하기,1,91.0,27276,https://school.programmers.co.kr/learn/courses/30/lessons/131114
가격이 제일 비싼 식품의 정보 출력하기,2,91.0,31851,https://school.programmers.co.kr/learn/courses/30/lessons/131115
카테고리 별 상품 개수 구하기,2,91.0,18173,https://school.programmers.co.kr/learn/courses/30/lessons/131529
조건에 맞는 회원수 구하기,1,91.0,34253,https://school.programmers.co.kr/learn/courses/30/lessons/131535
흉부외과 또는 일반외과 의사 목록 출력하기,1,91.0,33422,https://school.programmers.co.kr/learn/courses/30/lessons/132203
조건에 맞는 아이템들의 가격의 총합 구하기,2,91.0,11037,https://school.programmers.co.kr/learn/courses/30/lessons/273709
동물 수 구하기,2,91.0,74792,https://school.programmers.co.kr/learn/courses/30/lessons/59406
가장 비싼 상품 구하기,1,91.0,33921,https://school.programmers.co.kr/learn/courses/30/lessons/131697
상위 n개 레코드,1,91.0,75199,https://school.programmers.co.kr/learn/courses/30/lessons/59405
중복 제거하기,2,91.0,73247,https://school.programmers.co.kr/learn/courses/30/lessons/59408
나이 정보가 없는 회원 수 구하기,1,91.0,27722,https://school.programmers.co.kr/learn/courses/30/lessons/131528
동물의 아이디와 이름,1,91.0,78655,https://school.programmers.co.kr/learn/courses/30/lessons/59403
이름이 있는 동물의 아이디,1,91.0,59802,https://school.programmers.co.kr/learn/courses/30/lessons/59407
숫자 비교하기,0,91.0,82106,https://school.programmers.co.kr/learn/courses/30/lessons/120807
강원도에 위치한 생산공장 목록 출력하기,1,91.0,34374,https://school.programmers.co.kr/learn/courses/30/lessons/131112
두 수의 곱 구하기,0,91.0,88339,https://school.programmers.co.kr/learn/courses/30/lessons/120804
나머지 구하기,0,91.0,75472,https://school.programmers.co.kr/learn/courses/30/lessons/120810
중성화 여부 파악하기,2,90.0,42874,https://school.programmers.co.kr/learn/courses/30/lessons/59409
두 수의 합 구하기,0,90.0,83541,https://school.programmers.co.kr/learn/courses/30/lessons/120802
두 수의 나눗셈,0,90.0,71897,https://school.programmers.co.kr/learn/courses/30/lessons/120806
피자 나눠 먹기 (1),0,90.0,48857,https://school.programmers.co.kr/learn/courses/30/lessons/120814
피자 나눠 먹기 (3),0,90.0,42895,https://school.programmers.co.kr/learn/courses/30/lessons/120816
뒤집힌 문자열,0,90.0,43837,https://school.programmers.co.kr/learn/courses/30/lessons/120822
특정 문자 제거하기,0,90.0,38784,https://school.programmers.co.kr/learn/courses/30/lessons/120826
각도기,0,90.0,63361,https://school.programmers.co.kr/learn/courses/30/lessons/120829
양꼬치,0,90.0,53828,https://school.programmers.co.kr/learn/courses/30/lessons/120830
짝수의 합,0,90.0,59964,https://school.programmers.co.kr/learn/courses/30/lessons/120831
배열 자르기,0,90.0,40370,https://school.programmers.co.kr/learn/courses/30/lessons/120833
점의 위치 구하기,0,90.0,39722,https://school.programmers.co.kr/learn/courses/30/lessons/120841
최댓값 만들기(1),0,90.0,36989,https://school.programmers.co.kr/learn/courses/30/lessons/120847
모음 제거,0,90.0,32004,https://school.programmers.co.kr/learn/courses/30/lessons/120849
배열 원소의 길이,0,90.0,40632,https://school.programmers.co.kr/learn/courses/30/lessons/120854
삼각형의 완성조건 (1),0,90.0,34844,https://school.programmers.co.kr/learn/courses/30/lessons/120889
편지,0,90.0,42888,https://school.programmers.co.kr/learn/courses/30/lessons/120898
배열의 유사도,0,90.0,34768,https://school.programmers.co.kr/learn/courses/30/lessons/120903
n의 배수 고르기,0,90.0,30223,https://school.programmers.co.kr/learn/courses/30/lessons/120905
자릿수 더하기,0,90.0,34549,https://school.programmers.co.kr/learn/courses/30/lessons/120906
문자열안에 문자열,0,90.0,34265,https://school.programmers.co.kr/learn/courses/30/lessons/120908
세균 증식,0,90.0,36057,https://school.programmers.co.kr/learn/courses/30/lessons/120910
12세 이하인 여자 환자 목록 출력하기,1,90.0,31767,https://school.programmers.co.kr/learn/courses/30/lessons/132201
진료과별 총 예약 횟수 출력하기,2,90.0,22934,https://school.programmers.co.kr/learn/courses/30/lessons/132202
인기있는 아이스크림,1,90.0,32543,https://school.programmers.co.kr/learn/courses/30/lessons/133024
배열의 평균값,0,90.0,60959,https://school.programmers.co.kr/learn/courses/30/lessons/120817
아이스 아메리카노,0,90.0,45091,https://school.programmers.co.kr/learn/courses/30/lessons/120819
제곱수 판별하기,0,90.0,32003,https://school.programmers.co.kr/learn/courses/30/lessons/120909
짝수 홀수 개수,0,90.0,43665,https://school.programmers.co.kr/learn/courses/30/lessons/120824
배열 뒤집기,0,90.0,47098,https://school.programmers.co.kr/learn/courses/30/lessons/120821
더 크게 합치기,0,90.0,37292,https://school.programmers.co.kr/learn/courses/30/lessons/181939
두 수의 연산값 비교하기,0,90.0,35740,https://school.programmers.co.kr/learn/courses/30/lessons/181938
홀짝 구분하기,0,90.0,50324,https://school.programmers.co.kr/learn/courses/30/lessons/181944
문자열 곱하기,0,90.0,41297,https://school.programmers.co.kr/learn/courses/30/lessons/181940
flag에 따라 다른 값 반환하기,0,90.0,41771,https://school.programmers.co.kr/learn/courses/30/lessons/181933
문자 반복 출력하기,0,90.0,37377,https://school.programmers.co.kr/learn/courses/30/lessons/120825
이어 붙인 수,0,90.0,29655,https://school.programmers.co.kr/learn/courses/30/lessons/181928
홀짝에 따라 다른 값 반환하기,0,90.0,34810,https://school.programmers.co.kr/learn/courses/30/lessons/181935
원소들의 곱과 합,0,90.0,31410,https://school.programmers.co.kr/learn/courses/30/lessons/181929
n의 배수,0,90.0,44932,https://school.programmers.co.kr/learn/courses/30/lessons/181937
순서쌍의 개수,0,90.0,33494,https://school.programmers.co.kr/learn/courses/30/lessons/120836
공배수,0,90.0,43094,https://school.programmers.co.kr/learn/courses/30/lessons/181936
고양이와 개는 몇 마리 있을까,2,89.0,69175,https://school.programmers.co.kr/learn/courses/30/lessons/59040
입양 시각 구하기(1),2,89.0,55018,https://school.programmers.co.kr/learn/courses/30/lessons/59412
중복된 숫자 개수,0,89.0,46912,https://school.programmers.co.kr/learn/courses/30/lessons/120583
배열 두 배 만들기,0,89.0,53256,https://school.programmers.co.kr/learn/courses/30/lessons/120809
중앙값 구하기,0,89.0,45585,https://school.programmers.co.kr/learn/courses/30/lessons/120811
짝수는 싫어요,0,89.0,43289,https://school.programmers.co.kr/learn/courses/30/lessons/120813
옷가게 할인 받기,0,89.0,39946,https://school.programmers.co.kr/learn/courses/30/lessons/120818
직각삼각형 출력하기,0,89.0,28978,https://school.programmers.co.kr/learn/courses/30/lessons/120823
개미 군단,0,89.0,32842,https://school.programmers.co.kr/learn/courses/30/lessons/120837
가위 바위 보,0,89.0,30697,https://school.programmers.co.kr/learn/courses/30/lessons/120839
주사위의 개수,0,89.0,25804,https://school.programmers.co.kr/learn/courses/30/lessons/120845
문자열 정렬하기 (1),0,89.0,25689,https://school.programmers.co.kr/learn/courses/30/lessons/120850
숨어있는 숫자의 덧셈 (1),0,89.0,30683,https://school.programmers.co.kr/learn/courses/30/lessons/120851
최댓값 만들기 (2),0,89.0,23844,https://school.programmers.co.kr/learn/courses/30/lessons/120862
암호 해독,0,89.0,28291,https://school.programmers.co.kr/learn/courses/30/lessons/120892
대문자와 소문자,0,89.0,28813,https://school.programmers.co.kr/learn/courses/30/lessons/120893
인덱스 바꾸기,0,89.0,24864,https://school.programmers.co.kr/learn/courses/30/lessons/120895
약수 구하기,0,89.0,25790,https://school.programmers.co.kr/learn/courses/30/lessons/120897
가장 큰 수 찾기,0,89.0,29106,https://school.programmers.co.kr/learn/courses/30/lessons/120899
문자열 정렬하기 (2),0,89.0,24622,https://school.programmers.co.kr/learn/courses/30/lessons/120911
자동차 종류 별 특정 옵션이 포함된 자동차 수 구하기,2,89.0,21668,https://school.programmers.co.kr/learn/courses/30/lessons/151137
주사위 게임 1,0,89.0,18262,https://school.programmers.co.kr/learn/courses/30/lessons/181839
정수 찾기,0,89.0,23367,https://school.programmers.co.kr/learn/courses/30/lessons/181840
꼬리 문자열,0,89.0,16316,https://school.programmers.co.kr/learn/courses/30/lessons/181841
부분 문자열,0,89.0,19231,https://school.programmers.co.kr/learn/courses/30/lessons/181842
부분 문자열인지 확인하기,0,89.0,19709,https://school.programmers.co.kr/learn/courses/30/lessons/181843
배열의 원소 삭제하기,0,89.0,14800,https://school.programmers.co.kr/learn/courses/30/lessons/181844
문자열로 변환,0,89.0,26115,https://school.programmers.co.kr/learn/courses/30/lessons/181845
문자열을 정수로 변환하기,0,89.0,27856,https://school.programmers.co.kr/learn/courses/30/lessons/181848
문자열 정수의 합,0,89.0,21225,https://school.programmers.co.kr/learn/courses/30/lessons/181849
뒤에서 5등 위로,0,89.0,19204,https://school.programmers.co.kr/learn/courses/30/lessons/181852
뒤에서 5등까지,0,89.0,19998,https://school.programmers.co.kr/learn/courses/30/lessons/181853
배열의 길이에 따라 다른 연산하기,0,89.0,17530,https://school.programmers.co.kr/learn/courses/30/lessons/181854
배열 비교하기,0,89.0,18357,https://school.programmers.co.kr/learn/courses/30/lessons/181856
배열의 원소만큼 추가하기,0,89.0,17537,https://school.programmers.co.kr/learn/courses/30/lessons/181861
rny_string,0,89.0,21928,https://school.programmers.co.kr/learn/courses/30/lessons/181863
문자열 바꿔서 찾기,0,89.0,16990,https://school.programmers.co.kr/learn/courses/30/lessons/181864
x 사이의 개수,0,89.0,14870,https://school.programmers.co.kr/learn/courses/30/lessons/181867
공백으로 구분하기 2,0,89.0,17059,https://school.programmers.co.kr/learn/courses/30/lessons/181868
공백으로 구분하기 1,0,89.0,20601,https://school.programmers.co.kr/learn/courses/30/lessons/181869
ad 제거하기,0,89.0,15197,https://school.programmers.co.kr/learn/courses/30/lessons/181870
배열에서 문자열 대소문자 변환하기,0,89.0,18937,https://school.programmers.co.kr/learn/courses/30/lessons/181875
소문자로 바꾸기,0,89.0,26432,https://school.programmers.co.kr/learn/courses/30/lessons/181876
원하는 문자열 찾기,0,89.0,18950,https://school.programmers.co.kr/learn/courses/30/lessons/181878
길이에 따른 연산,0,89.0,23873,https://school.programmers.co.kr/learn/courses/30/lessons/181879
조건에 맞게 수열 변환하기 1,0,89.0,21346,https://school.programmers.co.kr/learn/courses/30/lessons/181882
n보다 커질 때까지 더하기,0,89.0,22846,https://school.programmers.co.kr/learn/courses/30/lessons/181884
할 일 목록,0,89.0,17254,https://school.programmers.co.kr/learn/courses/30/lessons/181885
5명씩,0,89.0,17973,https://school.programmers.co.kr/learn/courses/30/lessons/181886
홀수 vs 짝수,0,89.0,18574,https://school.programmers.co.kr/learn/courses/30/lessons/181887
n개 간격의 원소들,0,89.0,20002,https://school.programmers.co.kr/learn/courses/30/lessons/181888
순서 바꾸기,0,89.0,17395,https://school.programmers.co.kr/learn/courses/30/lessons/181891
배열 만들기 3,0,89.0,14257,https://school.programmers.co.kr/learn/courses/30/lessons/181895
첫 번째로 나오는 음수,0,89.0,23106,https://school.programmers.co.kr/learn/courses/30/lessons/181896
가까운 1 찾기,0,89.0,15478,https://school.programmers.co.kr/learn/courses/30/lessons/181898
카운트 다운,0,89.0,22511,https://school.programmers.co.kr/learn/courses/30/lessons/181899
배열 만들기 1,0,89.0,21261,https://school.programmers.co.kr/learn/courses/30/lessons/181901
접두사인지 확인하기,0,89.0,20945,https://school.programmers.co.kr/learn/courses/30/lessons/181906
문자열의 앞의 n글자,0,89.0,26745,https://school.programmers.co.kr/learn/courses/30/lessons/181907
접미사인지 확인하기,0,89.0,20011,https://school.programmers.co.kr/learn/courses/30/lessons/181908
접미사 배열,0,89.0,16322,https://school.programmers.co.kr/learn/courses/30/lessons/181909
문자열의 뒤의 n글자,0,89.0,26067,https://school.programmers.co.kr/learn/courses/30/lessons/181910
부분 문자열 이어 붙여 문자열 만들기,0,89.0,17843,https://school.programmers.co.kr/learn/courses/30/lessons/181911
9로 나눈 나머지,0,89.0,18278,https://school.programmers.co.kr/learn/courses/30/lessons/181914
글자 이어 붙여 문자열 만들기,0,89.0,23125,https://school.programmers.co.kr/learn/courses/30/lessons/181915
콜라츠 수열 만들기,0,89.0,19353,https://school.programmers.co.kr/learn/courses/30/lessons/181919
카운트 업,0,89.0,27977,https://school.programmers.co.kr/learn/courses/30/lessons/181920
수 조작하기 2,0,89.0,22015,https://school.programmers.co.kr/learn/courses/30/lessons/181925
수 조작하기 1,0,89.0,28888,https://school.programmers.co.kr/learn/courses/30/lessons/181926
마지막 두 원소,0,89.0,28040,https://school.programmers.co.kr/learn/courses/30/lessons/181927
주사위 게임 2,0,89.0,25438,https://school.programmers.co.kr/learn/courses/30/lessons/181930
문자열 돌리기,0,89.0,44906,https://school.programmers.co.kr/learn/courses/30/lessons/181945
덧셈식 출력하기,0,89.0,49650,https://school.programmers.co.kr/learn/courses/30/lessons/181947
A 강조하기,0,89.0,18500,https://school.programmers.co.kr/learn/courses/30/lessons/181874
간단한 식 계산하기,0,89.0,13692,https://school.programmers.co.kr/learn/courses/30/lessons/181865
특정한 문자를 대문자로 바꾸기,0,89.0,20272,https://school.programmers.co.kr/learn/courses/30/lessons/181873
머쓱이보다 키 큰 사람,0,89.0,46701,https://school.programmers.co.kr/learn/courses/30/lessons/120585
문자 리스트를 문자열로 변환하기,0,89.0,37715,https://school.programmers.co.kr/learn/courses/30/lessons/181941
조건에 맞게 수열 변환하기 3,0,89.0,20354,https://school.programmers.co.kr/learn/courses/30/lessons/181835
문자열 붙여서 출력하기,0,89.0,52230,https://school.programmers.co.kr/learn/courses/30/lessons/181946
l로 만들기,0,89.0,14043,https://school.programmers.co.kr/learn/courses/30/lessons/181834
n 번째 원소까지,0,89.0,23821,https://school.programmers.co.kr/learn/courses/30/lessons/181889
n 번째 원소부터,0,89.0,22349,https://school.programmers.co.kr/learn/courses/30/lessons/181892
대문자로 바꾸기,0,89.0,26583,https://school.programmers.co.kr/learn/courses/30/lessons/181877
정수 부분,0,89.0,29683,https://school.programmers.co.kr/learn/courses/30/lessons/181850
원소들의 곱과 합,0,89.0,31410,https://school.programmers.co.kr/learn/courses/30/lessons/181929
문자열을 정수로 바꾸기,1,88.0,75333,https://school.programmers.co.kr/learn/courses/30/lessons/12925
약수의 합,1,88.0,78488,https://school.programmers.co.kr/learn/courses/30/lessons/12928
자릿수 더하기,1,88.0,72577,https://school.programmers.co.kr/learn/courses/30/lessons/12931
자연수 뒤집어 배열로 만들기,1,88.0,65432,https://school.programmers.co.kr/learn/courses/30/lessons/12932
짝수와 홀수,1,88.0,85110,https://school.programmers.co.kr/learn/courses/30/lessons/12937
평균 구하기,1,88.0,83438,https://school.programmers.co.kr/learn/courses/30/lessons/12944
x만큼 간격이 있는 n개의 숫자,1,88.0,65947,https://school.programmers.co.kr/learn/courses/30/lessons/12954
나머지가 1이 되는 수 찾기,1,88.0,56670,https://school.programmers.co.kr/learn/courses/30/lessons/87389
피자 나눠 먹기 (2),0,88.0,29746,https://school.programmers.co.kr/learn/courses/30/lessons/120815
외계행성의 나이,0,88.0,26235,https://school.programmers.co.kr/learn/courses/30/lessons/120834
배열 회전시키기,0,88.0,24505,https://school.programmers.co.kr/learn/courses/30/lessons/120844
369게임,0,88.0,25008,https://school.programmers.co.kr/learn/courses/30/lessons/120891
조건에 맞는 도서와 저자 리스트 출력하기,2,88.0,26173,https://school.programmers.co.kr/learn/courses/30/lessons/144854
문자열 잘라서 정렬하기,0,88.0,12869,https://school.programmers.co.kr/learn/courses/30/lessons/181866
세로 읽기,0,88.0,14900,https://school.programmers.co.kr/learn/courses/30/lessons/181904
성분으로 구분한 아이스크림 총 주문량,2,88.0,23039,https://school.programmers.co.kr/learn/courses/30/lessons/133026
특별한 이차원 배열 2,0,88.0,12084,https://school.programmers.co.kr/learn/courses/30/lessons/181831
숫자 찾기,0,88.0,23958,https://school.programmers.co.kr/learn/courses/30/lessons/120904
특별한 이차원 배열 1,0,88.0,12154,https://school.programmers.co.kr/learn/courses/30/lessons/181833
두 정수 사이의 합,1,87.0,74183,https://school.programmers.co.kr/learn/courses/30/lessons/12912
문자열 내 p와 y의 개수,1,87.0,67238,https://school.programmers.co.kr/learn/courses/30/lessons/12916
정수 내림차순으로 배치하기,1,87.0,57674,https://school.programmers.co.kr/learn/courses/30/lessons/12933
정수 제곱근 판별,1,87.0,60733,https://school.programmers.co.kr/learn/courses/30/lessons/12934
하샤드 수,1,87.0,63680,https://school.programmers.co.kr/learn/courses/30/lessons/12947
오랜 기간 보호한 동물(1),3,87.0,49677,https://school.programmers.co.kr/learn/courses/30/lessons/59044
음양 더하기,1,87.0,59264,https://school.programmers.co.kr/learn/courses/30/lessons/76501
합성수 찾기,0,87.0,22381,https://school.programmers.co.kr/learn/courses/30/lessons/120846
중복된 문자 제거,0,87.0,23127,https://school.programmers.co.kr/learn/courses/30/lessons/120888
조건별로 분류하여 주문상태 출력하기,3,87.0,14928,https://school.programmers.co.kr/learn/courses/30/lessons/131113
상품 별 오프라인 매출 구하기,2,87.0,25193,https://school.programmers.co.kr/learn/courses/30/lessons/131533
카테고리 별 도서 판매량 집계하기,3,87.0,19435,https://school.programmers.co.kr/learn/courses/30/lessons/144855
대여 기록이 존재하는 자동차 리스트 구하기,3,87.0,13026,https://school.programmers.co.kr/learn/courses/30/lessons/157341
날짜 비교하기,0,87.0,12021,https://school.programmers.co.kr/learn/courses/30/lessons/181838
"빈 배열에 추가, 삭제하기",0,87.0,11483,https://school.programmers.co.kr/learn/courses/30/lessons/181860
수열과 구간 쿼리 1,0,87.0,12342,https://school.programmers.co.kr/learn/courses/30/lessons/181883
글자 지우기,0,87.0,14032,https://school.programmers.co.kr/learn/courses/30/lessons/181900
배열 만들기 5,0,87.0,14865,https://school.programmers.co.kr/learn/courses/30/lessons/181912
등차수열의 특정한 항만 더하기,0,87.0,24191,https://school.programmers.co.kr/learn/courses/30/lessons/181931
문자열 섞기,0,87.0,35123,https://school.programmers.co.kr/learn/courses/30/lessons/181942
없는 숫자 더하기,1,87.0,57922,https://school.programmers.co.kr/learn/courses/30/lessons/86051
이차원 배열 대각선 순회하기,0,87.0,11163,https://school.programmers.co.kr/learn/courses/30/lessons/181829
나누어 떨어지는 숫자 배열,1,86.0,62654,https://school.programmers.co.kr/learn/courses/30/lessons/12910
서울에서 김서방 찾기,1,86.0,68432,https://school.programmers.co.kr/learn/courses/30/lessons/12919
콜라츠 추측,1,86.0,59858,https://school.programmers.co.kr/learn/courses/30/lessons/12943
있었는데요 없었습니다,3,86.0,54085,https://school.programmers.co.kr/learn/courses/30/lessons/59043
오랜 기간 보호한 동물(2),3,86.0,37136,https://school.programmers.co.kr/learn/courses/30/lessons/59411
모스부호 (1),0,86.0,22464,https://school.programmers.co.kr/learn/courses/30/lessons/120838
2차원으로 만들기,0,86.0,21554,https://school.programmers.co.kr/learn/courses/30/lessons/120842
A로 B 만들기,0,86.0,20021,https://school.programmers.co.kr/learn/courses/30/lessons/120886
k의 개수,0,86.0,19360,https://school.programmers.co.kr/learn/courses/30/lessons/120887
조건에 맞는 도서 리스트 출력하기,1,86.0,29929,https://school.programmers.co.kr/learn/courses/30/lessons/144853
조건에 맞는 사용자와 총 거래금액 조회하기,3,86.0,16981,https://school.programmers.co.kr/learn/courses/30/lessons/164668
배열의 길이를 2의 거듭제곱으로 만들기,0,86.0,10509,https://school.programmers.co.kr/learn/courses/30/lessons/181857
문자열이 몇 번 등장하는지 세기,0,86.0,11747,https://school.programmers.co.kr/learn/courses/30/lessons/181871
특정 문자열로 끝나는 가장 긴 부분 문자열 찾기,0,86.0,11575,https://school.programmers.co.kr/learn/courses/30/lessons/181872
1로 만들기,0,86.0,12950,https://school.programmers.co.kr/learn/courses/30/lessons/181880
문자열 뒤집기,0,86.0,14578,https://school.programmers.co.kr/learn/courses/30/lessons/181905
수열과 구간 쿼리 3,0,86.0,19481,https://school.programmers.co.kr/learn/courses/30/lessons/181924
가운데 글자 가져오기,1,85.0,72295,https://school.programmers.co.kr/learn/courses/30/lessons/12903
제일 작은 수 제거하기,1,85.0,55583,https://school.programmers.co.kr/learn/courses/30/lessons/12935
핸드폰 번호 가리기,1,85.0,66198,https://school.programmers.co.kr/learn/courses/30/lessons/12948
보호소에서 중성화한 동물,4,85.0,44493,https://school.programmers.co.kr/learn/courses/30/lessons/59045
내적,1,85.0,56602,https://school.programmers.co.kr/learn/courses/30/lessons/70128
진료순서 정하기,0,85.0,22456,https://school.programmers.co.kr/learn/courses/30/lessons/120835
